Region,State,Year,Population,Total Rate,Violent Rate,Property Rate,Murder Rate,Rape Rate,Robbery Rate,Agg-Aslt Rate,Burglary Rate,Larceny Rate,MVTheft Rate,Murder,Rape,Robbery,Agg-Aslt,Burglary,Larceny,MVTheft,Total,Violent,Property,Latitude,Longitude
Mountain,Colorado,1988,3290000,0.061783282674772,0.004725835866261,0.057057446808511,0.000056838905775,0.000385714285714,0.000987841945289,0.003295440729483,0.013830699088146,0.039006382978723,0.004220364741641,187,1269,3250,10842,45503,128331,13885,203267,15548,187719,39.0646,-105.3272
Mountain,Colorado,1989,3317000,0.060394332227917,0.004713898100693,0.055680434127223,0.000044015676816,0.000362375640639,0.000899608079590,0.003407898703648,0.012503768465481,0.038647874585469,0.004528791076274,146,1202,2984,11304,41475,128195,15022,200328,15636,184692,39.0646,-105.3272
Mountain,Colorado,1990,3294394,0.060537385631470,0.005259844450907,0.055277541180563,0.000041889342926,0.000461693410078,0.000906084700251,0.003850176997651,0.012087807347876,0.038906093199538,0.004283640633148,138,1521,2985,12684,39822,128172,14112,199434,17328,182106,39.0646,-105.3272
Mountain,Colorado,1991,3377000,0.060740894284868,0.005592833876222,0.055148060408647,0.000058928042641,0.000470239857862,0.001074326325141,0.003989339650577,0.011583358010068,0.039300266508736,0.004264435889843,199,1588,3628,13472,39117,132717,14401,205122,18887,186235,39.0646,-105.3272
Mountain,Colorado,1992,3470000,0.059587896253602,0.005788472622478,0.053799423631124,0.000062247838617,0.000472910662824,0.001204610951009,0.004048703170029,0.010908645533141,0.037800864553314,0.005089913544669,216,1641,4180,14049,37853,131169,17662,206770,20086,186684,39.0646,-105.3272
Mountain,Colorado,1993,3566000,0.055267807066741,0.005672742568704,0.049595064498037,0.000057767807067,0.000457936062815,0.001166573191251,0.003990465507572,0.010098429613012,0.034993550196298,0.004503084688727,206,1633,4160,14230,36011,124787,16058,197085,20229,176856,39.0646,-105.3272
Mountain,Colorado,1994,3656000,0.053183807439825,0.005096280087527,0.048087527352298,0.000054431072210,0.000431892778993,0.001069474835886,0.003540481400438,0.009256838074398,0.034901531728665,0.003929157549234,199,1579,3910,12944,33843,127600,14365,194440,18632,175808,39.0646,-105.3272
Mountain,Colorado,1995,3747000,0.053962903656258,0.004401921537230,0.049560982119029,0.000057646116894,0.000394982652789,0.000961836135575,0.002987456631972,0.009341072858287,0.036344809180678,0.003875100080064,216,1480,3604,11194,35001,136184,14520,202199,16494,185705,39.0646,-105.3272
Mountain,Colorado,1996,3823000,0.051185194873136,0.004044729270207,0.047140465602930,0.000047083442323,0.000461679309443,0.000982212921789,0.002553753596652,0.009007585665708,0.034155375359665,0.003977504577557,180,1765,3755,9763,34436,130576,15206,195681,15463,180218,39.0646,-105.3272
Mountain,Colorado,1997,3893000,0.046504238376573,0.003631903416388,0.042872334960185,0.000040328795274,0.000430773182636,0.000832776778834,0.002328024659646,0.007961469303879,0.030773439506807,0.004137426149499,157,1677,3242,9063,30994,119801,16107,181041,14139,166902,39.0646,-105.3272
