Airline,Carrier Code,Flight Number,Tail Number,Flight ID,Event,Airport,Time,Original Time,Longitude,Latitude
American,AA,1039,N419AA,AA1039STLSNA,Arrive,SNA,11:20,1124,-117.8680556,33.67555556
American,AA,1039,N419AA,AA1039STLSNA,Depart,STL,8:50,854,-90.35972222,38.7475
American,AA,1041,N5CVAA,AA1041LASLAX,Arrive,LAX,9:15,919,-118.4080556,33.9425
American,AA,1041,N5CVAA,AA1041LASLAX,Depart,LAS,8:15,819,-115.1522222,36.08027778
American,AA,1042,N527AA,AA1042DFWMSY,Arrive,MSY,12:45,1248,-90.25777778,29.99333333
American,AA,1042,N527AA,AA1042DFWMSY,Depart,DFW,11:25,1125,-97.0375,32.89638889
American,AA,1043,N468AA,AA1043RDUDFW,Arrive,DFW,16:55,1655,-97.0375,32.89638889
American,AA,1043,N468AA,AA1043RDUDFW,Depart,RDU,14:20,1422,-78.78722222,35.8775
American,AA,1046,N590AA,AA1046SEADFW,Arrive,DFW,17:50,1750,-97.0375,32.89638889
American,AA,1046,N590AA,AA1046SEADFW,Depart,SEA,12:15,1215,-122.3091667,47.44888889
American,AA,1047,N639AA,AA1047BWIMIA,Arrive,MIA,8:30,834,-80.29055556,25.79305556
American,AA,1047,N639AA,AA1047BWIMIA,Depart,BWI,6:00,601,-76.66833333,39.17527778
American,AA,1048,N534AA,AA1048ORDMIA,Arrive,MIA,13:15,1318,-80.29055556,25.79305556
American,AA,1048,N534AA,AA1048ORDMIA,Depart,ORD,9:00,904,-87.90444444,41.97944444
American,AA,1049,N4WKAA,AA1049DFWPSP,Arrive,PSP,17:15,1717,-116.5066667,33.82944444
American,AA,1049,N4WKAA,AA1049DFWPSP,Depart,DFW,15:50,1553,-97.0375,32.89638889
American,AA,1050,N5TAAA,AA1050TPALGA,Arrive,LGA,13:50,1350,-73.8725,40.77722222
American,AA,1050,N5TAAA,AA1050TPALGA,Depart,TPA,11:20,1123,-82.53305556,27.97527778
American,AA,1051,N494AA,AA1051DFWCOS,Arrive,COS,15:40,1542,-104.7,38.80555556
American,AA,1051,N494AA,AA1051DFWCOS,Depart,DFW,14:45,1445,-97.0375,32.89638889
American,AA,1051,N494AA,AA1051MFEDFW,Arrive,DFW,13:35,1339,-97.0375,32.89638889
American,AA,1051,N494AA,AA1051MFEDFW,Depart,MFE,12:10,1212,-98.23861111,26.17583333
American,AA,1052,N3AKAA,AA1052DFWMIA,Arrive,MIA,22:35,2236,-80.29055556,25.79305556
American,AA,1052,N3AKAA,AA1052DFWMIA,Depart,DFW,19:05,1905,-97.0375,32.89638889
American,AA,1053,N216AA,AA1053RSWDFW,Arrive,DFW,12:10,1214,-97.0375,32.89638889
American,AA,1053,N216AA,AA1053RSWDFW,Depart,RSW,10:10,1012,-81.755,26.53611111
American,AA,1053,N465AA,AA1053DFWAUS,Arrive,AUS,11:55,1159,-97.66972222,30.19444444
American,AA,1053,N465AA,AA1053DFWAUS,Depart,DFW,10:50,1054,-97.0375,32.89638889
